site_location,availability,BHK,society,bath,balcony,total_sqft,area_type,price
Hadapsar Industrial Estate,18-Apr,4,,5,3,600,Plot  Area,95
Hingne Khurd,Ready To Move,2,Mosom B,2,3,1175,Super built-up  Area,49
Jangali Maharaj Road,Ready To Move,1,Hoxiaa ,1,2,655,Super built-up  Area,27
Kalyani Nagar,19-Mar,3,Skume R,2,1,1311,Super built-up  Area,84.86
Karve Nagar,Ready To Move,3,,4,0,600,Plot  Area,90
Karve Road,Ready To Move,2,Mancyes,2,1,1000,Carpet  Area,38.5
Kasba Peth,Ready To Move,2,,2,1,1196,Super built-up  Area,96
Katraj,Ready To Move,3,Wiowsri,2,1,1050,Built-up  Area,59
Khadaki,Ready To Move,3,,2,2,1275,Super built-up  Area,52
Khadki,Ready To Move,2,,2,1,927,Carpet  Area,50
Kharadi,Ready To Move,3,CaestSr,2,3,1520,Super built-up  Area,61
Kondhwa,Ready To Move,4,,5,2,2400,Plot  Area,395
Kondhwa Budruk,Ready To Move,2,Prersis,2,1,1333,Built-up  Area,104
Kondhwa Khurd,18-Mar,1,DSdidSp,1,0,600,Super built-up  Area,18
Koregaon Pa ,18-Sep,3,DSestma,2,1,1326,Super built-up  Area,34.8
Kothrud,18-Mar,3,PualeSk,,,1618 - 1929,Super built-up  Area,85.125
Law College Road,Ready To Move,2,KHage G,2,2,1370,Built-up  Area,125
Laxmi Road,Ready To Move,2,KHage G,2,2,1100,Super built-up  Area,85
Lulla Nagar,Ready To Move,3,,3,3,1650,Super built-up  Area,100
Mahatma Gandhi Road,18-May,3,,3,2,1917,Super built-up  Area,132
Mangalwar peth,Ready To Move,3,,3,,780,Carpet  Area,75
Manik Bagh,Ready To Move,2,Raony C,2,1,950,Super built-up  Area,58.11
Ma et yard,Ready To Move,2,,2,1,1175,Super built-up  Area,48.72
Model colony,Ready To Move,2,,2,1,1089,Super built-up  Area,43.55
Mukund Nagar,Ready To Move,3,Prillot,3,2,1804,Super built-up  Area,175
Mundhawa,Ready To Move,2,Keers S,2,1,1257,Super built-up  Area,68.5
Nagar Road,Ready To Move,1,SNityVe,1,2,650,Super built-up  Area,19.87
Nana Peth,Ready To Move,3,BrlisCo,3,2,1850,Super built-up  Area,150
Narayan Peth,Ready To Move,4,,4,1,2800,Built-up  Area,200
Narayangaon,Ready To Move,2,,2,,945,Built-up  Area,40
Navi Peth,22-Dec,2,,2,1,1161,Super built-up  Area,63.85
Padmavati,17-Apr,3,Naiewre,3,2,1630,Super built-up  Area,51.35
Parvati Darshan,Ready To Move,3,DSons S,2,2,1310,Super built-up  Area,60
Pashan,Ready To Move,2,,2,1,750,Super built-up  Area,28
Paud Road,18-Sep,3,,3,1,1200,Plot  Area,67.77
Pirangut,Ready To Move,2,Riave E,2,1,1000,Super built-up  Area,45
Prabhat Road,Ready To Move,4,,4,2,4000,Plot  Area,225
Pune Railway Station,Ready To Move,2,,2,2,1315,Built-up  Area,70
Rasta Peth,Ready To Move,3,NCensun,2,2,1370,Super built-up  Area,90
Raviwar Peth,Ready To Move,5,,4,3,1200,Plot  Area,150
Sadashiv Peth,Ready To Move,2,Ocavees,3,3,1465,Built-up  Area,90
Sahakar Nagar,Ready To Move,3,,3,,20000,Plot  Area,175
Salunke Vihar,18-Apr,2,Pra un,2,1,1128,Super built-up  Area,64
Sasson Road,Ready To Move,3,Silusti,2,2,1250,Super built-up  Area,70
Satara Road,19-Jun,3,Raard B,3,2,1645,Super built-up  Area,117
Senapati Bapat Road,Ready To Move,3,,2,2,1284,Super built-up  Area,75
Shaniwar Peth,18-Mar,3,SNontle,3,2,2600,Super built-up  Area,199
Shivaji Nagar,19-Jun,3,,3,2,1820,Super built-up  Area,150
Shukrawar Peth,Ready To Move,3,,3,1,1580,Super built-up  Area,73
Sinhagad Road,Ready To Move,3,,3,2,2650,Built-up  Area,125
Somwar Peth,Ready To Move,2,SNity S,2,1,1215,Super built-up  Area,68
Swargate,Ready To Move,2,,2,1,1075,Super built-up  Area,40
Tilak Road,Ready To Move,3,JaniaGa,2,3,1400,Super built-up  Area,78
Uruli Devachi,Ready To Move,3,,2,1,1400,Super built-up  Area,55
Vadgaon Budruk,Ready To Move,2,Prityel,2,1,845,Built-up  Area,30
Wadgaon Sheri,Ready To Move,4,,4,3,2600,Super built-up  Area,40
Viman Nagar,Ready To Move,4,Prldsum,6,0,3508 - 4201,Built-up  Area,385.5
Vishrant Wadi,Ready To Move,2,,2,1,800,Super built-up  Area,85
Wagholi,Ready To Move,2,Prcesvy,2,1,1199,Super built-up  Area,85
Wakadewadi,Ready To Move,2,Akncyes,2,2,1175,Super built-up  Area,43.48
Wanowrie,Ready To Move,3,,3,,2400,Plot  Area,270
Warje,Ready To Move,3,OriewLa,3,2,1767,Super built-up  Area,109
Yerawada,Ready To Move,4,Asncywo,3,1,1800,Super built-up  Area,90
Alandi Road,18-Aug,3,Sodgere,3,2,1856,Super built-up  Area,135
Ambegaon Budruk,Ready To Move,3,,3,,1200,Plot  Area,140
Anandnagar,18-Jun,3,Puwerun,3,0,1613,Super built-up  Area,150
Aundh,Ready To Move,4,Cruran ,5,,6830,Super built-up  Area,795
Aundh Road,Ready To Move,2,,2,0,1290,Built-up  Area,90
Balaji Nagar,Ready To Move,2,HMonymp,2,1,1375,Super built-up  Area,78
Baner,Ready To Move,2,Haows M,2,2,985,Super built-up  Area,57
Baner road,Ready To Move,4,,4,1,1200,Plot  Area,200
Bhanda ar Road,Ready To Move,2,,2,1,1099,Super built-up  Area,37.5
Bhavani Peth,18-Mar,1,Sidin J,1,0,605,Super built-up  Area,13.31
Bopodi,Ready To Move,7,,7,3,3600,Built-up  Area,160
Budhwar Peth,Ready To Move,2,Srers T,2,1,1200,Super built-up  Area,53
Bund Garden Road,Ready To Move,2,Chtali ,2,1,1000,Built-up  Area,45
Camp,Ready To Move,3,Itvir M,2,3,1159,Super built-up  Area,38
Chandan Nagar,Ready To Move,5,Adeatlm,5,,3692,Super built-up  Area,340
Dapodi,Ready To Move,2,,2,1,600,Plot  Area,80
Deccan Gymkhana,Ready To Move,4,,4,3,2400,Plot  Area,600
Dehu Road,Ready To Move,3,Myace P,2,2,1540,Built-up  Area,78
Dhankawadi,Ready To Move,3,,2,2,1503,Built-up  Area,93
Dhayari Phata,Ready To Move,3,SoechHa,4,2,1850,Super built-up  Area,120
Dhole Patil Road,Ready To Move,3,Sungspr,3,1,1580,Built-up  Area,60
Erandwane,Ready To Move,2,Amsomun,2,2,1190,Super built-up  Area,39.25
Fatima Nagar,Ready To Move,2,,2,1,1200,Plot  Area,61
Fergusson College Road,Ready To Move,7,,7,3,1000,Plot  Area,250
Ganesh Peth,18-Nov,2,,1,1,850,Super built-up  Area,19.9
Ganeshkhind,Ready To Move,3,,3,2,2180,Super built-up  Area,285
Ghorpade Peth,Ready To Move,3,,2,1,2500,Super built-up  Area,60
Ghorpadi,18-Dec,3,,3,1,1200,Plot  Area,56.12
Gokhale Nagar,Ready To Move,3,,2,2,1500,Super built-up  Area,52
Gultekdi,Ready To Move,5,,3,2,1200,Plot  Area,180
Guruwar peth,Ready To Move,3,R ra  R,3,3,1880,Super built-up  Area,120
Hadapsar,Ready To Move,2,Saalpas,2,2,1150,Super built-up  Area,45
Hadapsar Industrial Estate,18-May,4,,4,2,4408,Plot  Area,344
Hingne Khurd,Ready To Move,2,,2,2,924,Super built-up  Area,35.11
Jangali Maharaj Road,Ready To Move,5,Maana E,6,,7800,Super built-up  Area,385
Kalyani Nagar,Ready To Move,6,,6,3,600,Plot  Area,100
Karve Nagar,18-Feb,4,,4,1,750,Plot  Area,95
Karve Road,Ready To Move,3,CoinoCu,3,2,1962,Built-up  Area,175
Kasba Peth,Ready To Move,5,,4,3,1200,Plot  Area,240
Katraj,18-Nov,3,,3,2,1765,Super built-up  Area,77.27
Khadaki,Ready To Move,2,DSvar S,2,1,1174,Super built-up  Area,29.35
Khadki,19-Jun,3,Saenett,3,1,1894,Super built-up  Area,115
Kharadi,Ready To Move,4,,2,2,960,Plot  Area,138
Kondhwa,Ready To Move,3,Saitya ,3,2,1760,Super built-up  Area,142
Kondhwa Budruk,Ready To Move,3,,3,3,1768,Built-up  Area,95
Kondhwa Khurd,Ready To Move,3,Somumys,3,0,1790,Built-up  Area,97
Koregaon Pa ,17-Jul,4,,5,1,3500,Plot  Area,800
Kothrud,18-Dec,2,,2,1,1200,Plot  Area,45
Law College Road,Ready To Move,4,Unuil T,4,0,2540,Built-up  Area,160
Laxmi Road,Ready To Move,2,Neisei ,2,1,1137,Super built-up  Area,53.4
Lulla Nagar,22-May,4,SoineC ,,,2249.81 - 4112.19,Super built-up  Area,229
Mahatma Gandhi Road,Ready To Move,7,,6,,1200,Plot  Area,115
Mangalwar peth,Ready To Move,3,SaodySa,2,2,1568,Super built-up  Area,100
Manik Bagh,Ready To Move,4,Pardst ,4,0,4900 - 4940,Built-up  Area,393.5
Ma et yard,Ready To Move,2,Concyvi,2,1,1308,Super built-up  Area,60
Model colony,19-Aug,4,,4,2,3060,Super built-up  Area,350
Mukund Nagar,Ready To Move,3,Prityel,2,1,1200,Super built-up  Area,41
Mundhawa,Ready To Move,1,,1,2,800,Super built-up  Area,32
Nagar Road,19-Dec,1,Shntie ,1,1,530,Super built-up  Area,13.5
Nana Peth,Ready To Move,3,Prityel,2,1,873,Built-up  Area,40
Narayan Peth,Ready To Move,7,,6,3,3000,Plot  Area,145
Narayangaon,Ready To Move,4,,4,1,1200,Plot  Area,235
Navi Peth,Ready To Move,2,,2,1,958,Super built-up  Area,33.53
Padmavati,Ready To Move,3,Prtanha,4,2,2072,Super built-up  Area,160
Parvati Darshan,21-Dec,3,Sodgere,3,3,2273,Super built-up  Area,159
Pashan,18-May,3,,3,2,600,Plot  Area,90
Paud Road,Ready To Move,1,Bhmesy ,1,2,760,Super built-up  Area,50
Pirangut,Ready To Move,2,,2,2,1090,Super built-up  Area,43.5
Prabhat Road,Ready To Move,3,Prtanha,4,2,2072,Super built-up  Area,155
Pune Railway Station,Ready To Move,3,,3,1,2666,Super built-up  Area,230
Rasta Peth,Ready To Move,3,KPiteEl,2,1,1550,Super built-up  Area,89
Raviwar Peth,18-Aug,2,ViistLa,2,1,1251,Super built-up  Area,50
Sadashiv Peth,Ready To Move,2,GMown E,2,1,1070,Super built-up  Area,53
Sahakar Nagar,Ready To Move,2,,2,2,1200,Super built-up  Area,45
Salunke Vihar,Ready To Move,3,Srshq T,2,2,1435,Built-up  Area,60
Sasson Road,Ready To Move,3,Niara S,2,3,1400,Built-up  Area,45
Satara Road,Ready To Move,4,MNnia E,3,2,2330,Super built-up  Area,94.71
Senapati Bapat Road,Ready To Move,2,Inulat ,2,3,1200,Super built-up  Area,60
Shaniwar Peth,Ready To Move,2,,2,2,1000,Super built-up  Area,40
Shivaji Nagar,18-Sep,3,DSnjh S,2,2,1655,Super built-up  Area,62.89
Sinhagad Road,Ready To Move,1,,1,1,600,Plot  Area,35
Somwar Peth,Ready To Move,2,Avine A,2,1,1175,Super built-up  Area,50
Swargate,Ready To Move,2,SLnssPr,2,2,1155,Super built-up  Area,40.43
Tilak Road,Ready To Move,3,Anensva,3,2,1200,Plot  Area,98
Uruli Devachi,Ready To Move,2,PrityTr,2,2,1149,Super built-up  Area,65
Vadgaon Budruk,Ready To Move,3,BrdgeNo,,,1610 - 1880,Super built-up  Area,98.485
Wadgaon Sheri,Ready To Move,4,LGlarAs,4,2,3200,Plot  Area,375
Viman Nagar,Ready To Move,2,,2,2,1010,Super built-up  Area,55
Vishrant Wadi,Ready To Move,3,Soiniy ,3,2,1718,Super built-up  Area,119
Wagholi,Ready To Move,2,,1,1,650,Super built-up  Area,20
Wakadewadi,Ready To Move,2,Bregae ,2,2,1330,Super built-up  Area,77
Wanowrie,Ready To Move,2,Sra ha,2,2,1200,Super built-up  Area,68
Warje,21-Dec,3,Hiatei ,3,2,1693,Super built-up  Area,89
Yerawada,19-Dec,2,Prood P,2,1,1249,Super built-up  Area,165
Alandi Road,Ready To Move,3,G conTh,4,1,1800,Built-up  Area,125
Ambegaon Budruk,Ready To Move,2,,2,0,900,Plot  Area,55
Anandnagar,Ready To Move,2,BSian M,2,1,1020,Super built-up  Area,46
Aundh,Ready To Move,3,,3,2,1700,Super built-up  Area,77
Aundh Road,18-Jun,1,,1,1,661,Built-up  Area,40
Balaji Nagar,17-Sep,2,GRa en,2,2,1280,Super built-up  Area,60.16
Baner,Ready To Move,5,,4,2,1000,Plot  Area,90
Baner road,Ready To Move,2,,2,1,1170,Super built-up  Area,48
Bhanda ar Road,Ready To Move,1,Bhmesy ,2,1,933,Super built-up  Area,58
Bhavani Peth,Ready To Move,2,Shthi S,2,0,1150,Built-up  Area,44
Bibvewadi,Ready To Move,4,Saentva,6,2,3633,Super built-up  Area,550
Bopodi,Ready To Move,3,Tiitela,3,3,1380,Super built-up  Area,130
Budhwar Peth,Ready To Move,2,,2,1,1050,Built-up  Area,64.8
Bund Garden Road,Ready To Move,2,,2,1,1080,Super built-up  Area,37.8
Camp,Ready To Move,2,Prncyrn,2,1,1303,Super built-up  Area,90
Chandan Nagar,Ready To Move,2,GrrvaGr,2,2,1196,Super built-up  Area,40.54
Dapodi,Ready To Move,5,,3,2,2500,Built-up  Area,180
Deccan Gymkhana,Ready To Move,5,,4,1,1200,Plot  Area,95
Dehu Road,18-May,3,,3,2,1250,Super built-up  Area,41
Dhankawadi,Ready To Move,3,DLhtsnd,2,3,1419,Super built-up  Area,87
Dhayari Phata,Ready To Move,2,Vimesar,2,3,1200,Super built-up  Area,49
Dhole Patil Road,Ready To Move,2,,2,2,1120,Built-up  Area,65
Erandwane,Ready To Move,1,Shitt S,1,0,755 - 770,Super built-up  Area,45.4
Fatima Nagar,Ready To Move,2,SNdri N,2,1,1245,Super built-up  Area,75
Fergusson College Road,Ready To Move,4,RMaanSa,4,3,3978,Built-up  Area,428
Ganesh Peth,Ready To Move,2,Unm 2El,2,1,1093,Super built-up  Area,34
Ganeshkhind,18-Jul,2,,1,1,1025,Super built-up  Area,26.63
Ghorpade Peth,Ready To Move,2,Prersis,2,1,1345,Super built-up  Area,97
Ghorpadi,Ready To Move,2,,2,1,1500,Plot  Area,45
Gokhale Nagar,21-Jun,2,Saityat,2,1,1180,Super built-up  Area,86
Gultekdi,Ready To Move,2,BSian M,2,1,1020,Super built-up  Area,48.45
Guruwar peth,Ready To Move,3,,3,3,1800,Super built-up  Area,85
Hadapsar,18-Aug,4,Prasa W,4,1,3621,Super built-up  Area,511
Hadapsar Industrial Estate,Ready To Move,3,,3,2,2008,Super built-up  Area,170
Hingne Khurd,18-Jun,3,,2,2,1240,Super built-up  Area,39.85
Jangali Maharaj Road,Ready To Move,2,JKmesHo,2,1,1020,Super built-up  Area,55
Kalyani Nagar,Ready To Move,3,BrriaLu,3,2,2095,Super built-up  Area,142
Karve Nagar,Ready To Move,3,DSerste,3,2,1362,Super built-up  Area,62.63
Karve Road,Ready To Move,1,Neite T,1,0,694,Super built-up  Area,30.84
Kasba Peth,Ready To Move,2,Prlla C,2,2,1404,Super built-up  Area,70
Katraj,Ready To Move,3,,2,3,1192,Super built-up  Area,47
Khadki,Ready To Move,4,,1,0,1050,Plot  Area,35
Kharadi,Ready To Move,2,,2,1,1259,Super built-up  Area,67.48
Kondhwa,Ready To Move,2,,2,2,1000,Super built-up  Area,34
Kondhwa Budruk,20-Dec,2,AsNowre,2,1,985,Super built-up  Area,49.97
Kondhwa Khurd,Ready To Move,1,GoilsDa,1,2,850,Built-up  Area,60
Koregaon Pa ,Ready To Move,3,,2,1,1650,Built-up  Area,50
Kothrud,Ready To Move,5,,3,1,2400,Plot  Area,320
Law College Road,Ready To Move,3,,4,1,1900,Super built-up  Area,180
Laxmi Road,Ready To Move,2,SoechHa,2,2,1367,Super built-up  Area,86
Lulla Nagar,Ready To Move,3,Raesta ,2,2,1210,Super built-up  Area,81
Mahatma Gandhi Road,Ready To Move,2,,2,1,1190,Super built-up  Area,48.6
Mangalwar peth,Ready To Move,2,,2,2,1175,Super built-up  Area,42
Manik Bagh,Ready To Move,4,,4,,2800,Super built-up  Area,400
Ma et yard,Ready To Move,2,SSthamh,2,2,1140,Super built-up  Area,40
Model colony,Ready To Move,2,VRowsa ,2,2,1095,Super built-up  Area,33.6
Mukund Nagar,Ready To Move,1,DSvar S,1,0,782,Super built-up  Area,19.55
Mundhawa,Ready To Move,3,MauilTr,2,2,1435,Super built-up  Area,80
Nagar Road,Ready To Move,2,Maidsr ,2,2,725,Super built-up  Area,36
Nana Peth,Ready To Move,3,Sutesga,2,2,1600,Built-up  Area,88
Narayan Peth,Ready To Move,5,,5,,1200,Plot  Area,160
Narayangaon,Ready To Move,4,Taonte ,4,2,3205,Super built-up  Area,300
Navi Peth,Ready To Move,4,,3,1,720,Plot  Area,95
Padmavati,Ready To Move,3,Veyalin,3,,1674,Super built-up  Area,90
Parvati Darshan,Ready To Move,4,,4,2,860,Plot  Area,125
Pashan,Ready To Move,2,RInceeg,2,2,1243,Super built-up  Area,46
Paud Road,19-Jul,3,Soazak ,3,2,1703,Super built-up  Area,130
Pirangut,18-May,3,,3,1,1350,Super built-up  Area,71.55
Prabhat Road,Ready To Move,2,Suise S,2,1,1145,Super built-up  Area,41.21
Pune Railway Station,18-Apr,2,Prtates,2,1,1216,Super built-up  Area,75
Rasta Peth,Ready To Move,2,Panorse,3,1,1100,Super built-up  Area,60
Raviwar Peth,Ready To Move,4,Puallhi,5,1,2425,Super built-up  Area,201
Sadashiv Peth,Ready To Move,4,,4,2,2700,Plot  Area,175
Sahakar Nagar,Ready To Move,2,GrrvaGr,2,2,1196,Super built-up  Area,40.54
Salunke Vihar,Ready To Move,3,PuandHi,3,3,1600,Carpet  Area,90
Sasson Road,17-Oct,3,Naiewre,3,3,1510,Super built-up  Area,47.57
Satara Road,Ready To Move,4,Taonte ,4,1,3033,Super built-up  Area,326
Senapati Bapat Road,Ready To Move,2,,2,1,780,Plot  Area,72
Shaniwar Peth,Ready To Move,2,,2,2,1194,Super built-up  Area,47
Shivaji Nagar,Ready To Move,2,,2,2,1250,Built-up  Area,110
Shukrawar Peth,Ready To Move,5,Owlotou,4,1,1480,Plot  Area,169
Sinhagad Road,Ready To Move,4,,4,1,1250,Plot  Area,100
Somwar Peth,Ready To Move,4,,4,2,1350,Plot  Area,160
Swargate,Ready To Move,1,,2,0,620,Built-up  Area,48
Tilak Road,Ready To Move,3,i1rtsCo,3,2,1630,Super built-up  Area,60.65
Uruli Devachi,Ready To Move,2,,2,0,1020,Built-up  Area,45
Vadgaon Budruk,18-Aug,3,Maunt M,2,2,1410,Super built-up  Area,53.58
Wadgaon Sheri,18-Dec,2,Rosha I,2,1,1181.7,Carpet  Area,100
Vishrant Wadi,Ready To Move,3,Kla  L,3,2,1691,Super built-up  Area,113
Wagholi,Ready To Move,4,,4,0,1200,Built-up  Area,83
Wakadewadi,Ready To Move,2,,2,3,1200,Super built-up  Area,60
Wanowrie,Ready To Move,2,,2,2,1050,Super built-up  Area,50
Warje,Ready To Move,3,Prone M,3,2,1300,Super built-up  Area,77.99
Yerawada,21-Dec,2,Preaunt,2,1,1356,Super built-up  Area,94.84
Alandi Road,20-Dec,2,Goted U,2,1,1338,Super built-up  Area,103
Ambegaon Budruk,Ready To Move,1,,1,1,500,Super built-up  Area,20
Anandnagar,18-Aug,3,MaitySe,2,1,1280,Super built-up  Area,100
Aundh,Ready To Move,3,GrrvaGr,3,3,1531,Super built-up  Area,51.77
Aundh Road,18-May,4,,4,1,11000,Super built-up  Area,1600
Balaji Nagar,Ready To Move,2,,1,1,620,Built-up  Area,23.5
Baner,Ready To Move,3,Yaenti ,2,2,1605,Super built-up  Area,65
Baner road,Ready To Move,3,Bhmesy ,3,2,1917,Super built-up  Area,110
Bhanda ar Road,Ready To Move,4,,3,1,1200,Plot  Area,340
Bhavani Peth,Ready To Move,3,,3,2,2750,Super built-up  Area,943
Bibvewadi,Ready To Move,3,Viissmi,3,2,1400,Built-up  Area,55
Bopodi,Ready To Move,3,ShdhiSa,3,3,2625,Built-up  Area,175
Budhwar Peth,Ready To Move,2,,2,1,1100,Built-up  Area,55
Bund Garden Road,Ready To Move,3,SaireSa,3,3,2041,Super built-up  Area,128
Camp,Ready To Move,3,SoniaEt,4,2,2070,Super built-up  Area,160
Chandan Nagar,Ready To Move,3,Arcia S,3,3,1110,Super built-up  Area,59
Dapodi,Ready To Move,3,Koncyad,3,1,1650,Built-up  Area,110
Deccan Gymkhana,18-Dec,4,Thessrm,4,3,3565,Plot  Area,255
Dehu Road,19-Dec,3,,2,2,1033,Super built-up  Area,30.47
Dhankawadi,Ready To Move,2,Siestr ,2,2,1142,Super built-up  Area,65
Dhayari Phata,Ready To Move,3,,2,2,1500,Super built-up  Area,75
Dhole Patil Road,Ready To Move,3,Rie 2ri,3,3,1502,Super built-up  Area,50
Erandwane,Ready To Move,3,PrinePr,2,1,1176,Super built-up  Area,45
Fatima Nagar,18-May,2,,2,1,1063,Super built-up  Area,32.8
Fergusson College Road,Ready To Move,2,,2,1,1100,Built-up  Area,60
Ganesh Peth,Ready To Move,2,,2,2,1044,Plot  Area,85
Ganeshkhind,Ready To Move,3,Adeatlm,3,2,5400,Plot  Area,700
Ghorpade Peth,Ready To Move,2,,2,2,1216,Built-up  Area,60
Ghorpadi,Ready To Move,3,MSanaer,3,2,1425,Super built-up  Area,55
Gultekdi,Ready To Move,2,Saageat,2,2,1345,Super built-up  Area,108
Guruwar peth,Ready To Move,2,,2,1,1248,Super built-up  Area,130
Hadapsar,Ready To Move,4,SRgio V,4,2,1830,Plot  Area,325
Hadapsar Industrial Estate,Ready To Move,2,,1,0,900,Built-up  Area,130
Hingne Khurd,Ready To Move,4,Vaodssh,4,,3600,Built-up  Area,245
Jangali Maharaj Road,Ready To Move,2,,2,1,1025,Super built-up  Area,35.88
Kalyani Nagar,Ready To Move,2,,1,1,840,Plot  Area,99
Karve Nagar,Ready To Move,3,Srasy F,2,,3050,Super built-up  Area,90
Karve Road,Ready To Move,3,,2,2,1424,Super built-up  Area,75
Kasba Peth,Ready To Move,3,,3,1,2500,Built-up  Area,268
Katraj,Ready To Move,6,,6,,1200,Plot  Area,230
Khadaki,18-Aug,2,,2,2,1285,Super built-up  Area,45
Khadki,Ready To Move,2,,2,1,1450,Super built-up  Area,55.99
Kharadi,18-May,2,Prllsan,2,1,1160,Super built-up  Area,70
Kondhwa,Ready To Move,3,,3,0,2700,Plot  Area,350
Kondhwa Budruk,18-Apr,3,Miiewa ,2,2,2000,Plot  Area,95
Kondhwa Khurd,Ready To Move,2,Aklia R,2,1,1125,Super built-up  Area,47.65
Koregaon Pa ,Ready To Move,4,Saive L,4,2,3900,Built-up  Area,175
Kothrud,Ready To Move,2,GrrvaGr,2,1,1133,Built-up  Area,38.37
Law College Road,Ready To Move,2,Nihtsss,2,2,1240,Super built-up  Area,60
Laxmi Road,22-Nov,3,Sabixtt,3,3,1466,Super built-up  Area,77.59
Lulla Nagar,Ready To Move,4,PrstaTe,4,2,3870,Super built-up  Area,411
Mahatma Gandhi Road,Ready To Move,3,DNeremo,2,2,1610,Super built-up  Area,115
Mangalwar peth,Ready To Move,3,,3,2,1220,Super built-up  Area,56
Manik Bagh,Ready To Move,2,VSomepi,2,2,1225,Built-up  Area,48
Ma et yard,Ready To Move,2,Javasi ,2,1,1300,Super built-up  Area,54
Model colony,19-May,3,G conTh,4,1,1996,Super built-up  Area,123
Mukund Nagar,Ready To Move,3,,2,2,1320,Super built-up  Area,55
Mundhawa,Ready To Move,3,Brway G,3,2,1800,Super built-up  Area,240
Nagar Road,Ready To Move,3,,3,3,1835,Super built-up  Area,175
Nana Peth,Ready To Move,3,PuineSu,3,2,1435,Super built-up  Area,90
Narayan Peth,Ready To Move,3,VDarmlo,3,,4097,Super built-up  Area,400
Narayangaon,Ready To Move,3,MJeusyl,3,3,1601,Super built-up  Area,70
Navi Peth,Ready To Move,2,Krshi G,2,2,1257,Super built-up  Area,93
Padmavati,Ready To Move,4,Emine P,5,1,3596,Super built-up  Area,260
Parvati Darshan,Ready To Move,2,Salisal,2,2,1309,Super built-up  Area,95
Pashan,Ready To Move,2,,2,0,1362,Plot  Area,100
Paud Road,Ready To Move,2,Gamesti,2,1,1115,Super built-up  Area,55
Pirangut,Ready To Move,3,Brony H,3,2,1870,Super built-up  Area,90
Prabhat Road,18-Nov,2,,2,1,1322,Super built-up  Area,61.99
Pune Railway Station,Ready To Move,3,,2,1,1450,Super built-up  Area,65
Rasta Peth,Ready To Move,2,Goeesem,2,2,1185,Super built-up  Area,67
Raviwar Peth,Ready To Move,3,Eladero,3,3,1790,Super built-up  Area,120
Sadashiv Peth,Ready To Move,3,StodsWa,4,2,3450,Plot  Area,208
Sahakar Nagar,Ready To Move,2,,2,2,1050,Super built-up  Area,52.5
Salunke Vihar,Ready To Move,1,PrityTr,1,0,664 - 722,Super built-up  Area,27.375
Sasson Road,Ready To Move,4,Adeatlm,4,2,5400,Plot  Area,750
Satara Road,Ready To Move,1,,1,0,775,Super built-up  Area,39
Senapati Bapat Road,Ready To Move,2,Macanr ,2,2,1000,Built-up  Area,48
Shaniwar Peth,19-Mar,2,Bhe 2ko,2,1,1183,Super built-up  Area,77.25
Shivaji Nagar,20-Dec,3,Shestlo,3,2,1282,Super built-up  Area,178
Shukrawar Peth,Ready To Move,1,,1,1,425,Super built-up  Area,15
Sinhagad Road,Ready To Move,2,,2,2,820,Built-up  Area,30
Somwar Peth,Ready To Move,4,,4,,2230,Super built-up  Area,792
Swargate,Ready To Move,2,Srntsha,2,2,1200,Built-up  Area,52
Tilak Road,18-Jun,2,ViistLa,2,2,1151,Super built-up  Area,43.6
Uruli Devachi,Ready To Move,3,Naepa D,2,2,1320,Super built-up  Area,59
Vadgaon Budruk,18-Apr,3,,3,2,1450,Carpet  Area,68
Wadgaon Sheri,Ready To Move,3,,2,3,1270,Super built-up  Area,50.79
Viman Nagar,Ready To Move,3,SoitaCa,3,2,1847,Super built-up  Area,123
Vishrant Wadi,18-May,1,Pardsri,2,1,1020,Super built-up  Area,49.87
Wagholi,Ready To Move,3,ManceEl,3,,1650,Super built-up  Area,95
